onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	1	1	1	2	7	13	1
12	3	1	2	1	3	7	19	1
20	3	1	3	1	4	2	11	2
28	3	1	4	1	7	10	11	3
36	3	1	5	1	9	10	19	3
44	3	1	6	1	1	7	11	1
52	3	1	7	1	8	10	13	3
60	3	1	8	1	6	2	19	2
68	3	1	9	1	5	2	13	2
76	3	1	10	1	1	7	11	1
84	3	1	11	1	3	7	19	1
92	3	1	12	1	5	2	13	2
100	3	1	13	1	4	2	11	2
108	3	1	14	1	9	10	19	3
116	3	1	15	1	8	10	13	3
124	3	1	16	1	2	7	13	1
132	3	1	17	1	7	10	11	3
140	3	1	18	1	6	2	19	2
148	3	1	19	1	5	2	13	2
156	3	1	20	1	2	7	13	1
164	3	1	21	1	7	10	11	3
172	3	1	22	1	6	2	19	2
180	3	1	23	1	9	10	19	3
188	3	1	24	1	8	10	13	3
196	3	1	25	1	3	7	19	1
204	3	1	26	1	1	7	11	1
212	3	1	27	1	4	2	11	2
