onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	1	9	13	1
12	3	2	2	1	6	2	19	2
20	3	2	3	1	8	10	1	3
28	3	2	4	1	3	9	19	1
36	3	2	5	1	2	9	1	1
44	3	2	6	1	7	10	13	3
52	3	2	7	1	9	10	19	3
60	3	2	8	1	4	2	13	2
68	3	2	9	1	5	2	1	2
76	3	2	10	1	1	9	13	1
84	3	2	11	1	5	2	1	2
92	3	2	12	1	9	10	19	3
100	3	2	13	1	4	2	13	2
108	3	2	14	1	2	9	1	1
116	3	2	15	1	6	2	19	2
124	3	2	16	1	7	10	13	3
132	3	2	17	1	8	10	1	3
140	3	2	18	1	3	9	19	1
148	3	2	19	1	5	2	1	2
156	3	2	20	1	9	10	19	3
164	3	2	21	1	2	9	1	1
172	3	2	22	1	6	2	19	2
180	3	2	23	1	3	9	19	1
188	3	2	24	1	7	10	13	3
196	3	2	25	1	8	10	1	3
204	3	2	26	1	1	9	13	1
212	3	2	27	1	4	2	13	2
