onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	3	1	1	3	18	16	1
12	3	3	2	1	5	1	10	2
20	3	3	3	1	7	7	9	3
28	3	3	4	1	4	1	9	2
36	3	3	5	1	2	18	10	1
44	3	3	6	1	6	1	16	2
52	3	3	7	1	8	7	10	3
60	3	3	8	1	9	7	16	3
68	3	3	9	1	1	18	9	1
76	3	3	10	1	8	7	10	3
84	3	3	11	1	5	1	10	2
92	3	3	12	1	3	18	16	1
100	3	3	13	1	9	7	16	3
108	3	3	14	1	4	1	9	2
116	3	3	15	1	6	1	16	2
124	3	3	16	1	2	18	10	1
132	3	3	17	1	7	7	9	3
140	3	3	18	1	1	18	9	1
148	3	3	19	1	9	7	16	3
156	3	3	20	1	5	1	10	2
164	3	3	21	1	7	7	9	3
172	3	3	22	1	6	1	16	2
180	3	3	23	1	4	1	9	2
188	3	3	24	1	2	18	10	1
196	3	3	25	1	8	7	10	3
204	3	3	26	1	1	18	9	1
212	3	3	27	1	3	18	16	1
