onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	6	10	7	2
12	3	2	2	1	3	19	7	1
20	3	2	3	1	4	10	11	2
28	3	2	4	1	8	16	9	3
36	3	2	5	1	7	16	11	3
44	3	2	6	1	5	10	9	2
52	3	2	7	1	1	19	11	1
60	3	2	8	1	2	19	9	1
68	3	2	9	1	9	16	7	3
76	3	2	10	1	1	19	11	1
84	3	2	11	1	9	16	7	3
92	3	2	12	1	4	10	11	2
100	3	2	13	1	8	16	9	3
108	3	2	14	1	6	10	7	2
116	3	2	15	1	5	10	9	2
124	3	2	16	1	3	19	7	1
132	3	2	17	1	2	19	9	1
140	3	2	18	1	7	16	11	3
148	3	2	19	1	6	10	7	2
156	3	2	20	1	2	19	9	1
164	3	2	21	1	9	16	7	3
172	3	2	22	1	5	10	9	2
180	3	2	23	1	4	10	11	2
188	3	2	24	1	3	19	7	1
196	3	2	25	1	8	16	9	3
204	3	2	26	1	1	19	11	1
212	3	2	27	1	7	16	11	3
