onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	1	1	1	8	18	9	3
12	3	1	2	1	6	7	10	2
20	3	1	3	1	3	13	10	1
28	3	1	4	1	4	7	2	2
36	3	1	5	1	2	13	9	1
44	3	1	6	1	7	18	2	3
52	3	1	7	1	5	7	9	2
60	3	1	8	1	9	18	10	3
68	3	1	9	1	1	13	2	1
76	3	1	10	1	6	7	10	2
84	3	1	11	1	7	18	2	3
92	3	1	12	1	5	7	9	2
100	3	1	13	1	1	13	2	1
108	3	1	14	1	2	13	9	1
116	3	1	15	1	4	7	2	2
124	3	1	16	1	3	13	10	1
132	3	1	17	1	8	18	9	3
140	3	1	18	1	9	18	10	3
148	3	1	19	1	2	13	9	1
156	3	1	20	1	8	18	9	3
164	3	1	21	1	9	18	10	3
172	3	1	22	1	4	7	2	2
180	3	1	23	1	7	18	2	3
188	3	1	24	1	5	7	9	2
196	3	1	25	1	6	7	10	2
204	3	1	26	1	3	13	10	1
212	3	1	27	1	1	13	2	1
