onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	1	9	11	1
12	3	2	2	1	6	13	10	2
20	3	2	3	1	9	16	10	3
28	3	2	4	1	4	13	11	2
36	3	2	5	1	3	9	10	1
44	3	2	6	1	8	16	1	3
52	3	2	7	1	2	9	1	1
60	3	2	8	1	7	16	11	3
68	3	2	9	1	5	13	1	2
76	3	2	10	1	7	16	11	3
84	3	2	11	1	9	16	10	3
92	3	2	12	1	5	13	1	2
100	3	2	13	1	3	9	10	1
108	3	2	14	1	4	13	11	2
116	3	2	15	1	8	16	1	3
124	3	2	16	1	2	9	1	1
132	3	2	17	1	6	13	10	2
140	3	2	18	1	1	9	11	1
148	3	2	19	1	7	16	11	3
156	3	2	20	1	3	9	10	1
164	3	2	21	1	5	13	1	2
172	3	2	22	1	1	9	11	1
180	3	2	23	1	8	16	1	3
188	3	2	24	1	4	13	11	2
196	3	2	25	1	6	13	10	2
204	3	2	26	1	9	16	10	3
212	3	2	27	1	2	9	1	1
