onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	7	19	7	3
12	3	2	2	1	9	19	10	3
20	3	2	3	1	3	11	10	1
28	3	2	4	1	2	11	2	1
36	3	2	5	1	6	13	10	2
44	3	2	6	1	5	13	2	2
52	3	2	7	1	1	11	7	1
60	3	2	8	1	4	13	7	2
68	3	2	9	1	8	19	2	3
76	3	2	10	1	1	11	7	1
84	3	2	11	1	3	11	10	1
92	3	2	12	1	9	19	10	3
100	3	2	13	1	5	13	2	2
108	3	2	14	1	8	19	2	3
116	3	2	15	1	7	19	7	3
124	3	2	16	1	2	11	2	1
132	3	2	17	1	4	13	7	2
140	3	2	18	1	6	13	10	2
148	3	2	19	1	8	19	2	3
156	3	2	20	1	2	11	2	1
164	3	2	21	1	3	11	10	1
172	3	2	22	1	4	13	7	2
180	3	2	23	1	9	19	10	3
188	3	2	24	1	5	13	2	2
196	3	2	25	1	1	11	7	1
204	3	2	26	1	7	19	7	3
212	3	2	27	1	6	13	10	2
