onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	8	9	14	3
12	3	2	2	1	4	17	20	2
20	3	2	3	1	1	1	20	1
28	3	2	4	1	9	9	8	3
36	3	2	5	1	2	1	14	1
44	3	2	6	1	7	9	20	3
52	3	2	7	1	6	17	8	2
60	3	2	8	1	3	1	8	1
68	3	2	9	1	5	17	14	2
76	3	2	10	1	2	1	14	1
84	3	2	11	1	3	1	8	1
92	3	2	12	1	8	9	14	3
100	3	2	13	1	4	17	20	2
108	3	2	14	1	9	9	8	3
116	3	2	15	1	1	1	20	1
124	3	2	16	1	5	17	14	2
132	3	2	17	1	6	17	8	2
140	3	2	18	1	7	9	20	3
148	3	2	19	1	5	17	14	2
156	3	2	20	1	1	1	20	1
164	3	2	21	1	4	17	20	2
172	3	2	22	1	3	1	8	1
180	3	2	23	1	2	1	14	1
188	3	2	24	1	9	9	8	3
196	3	2	25	1	7	9	20	3
204	3	2	26	1	6	17	8	2
212	3	2	27	1	8	9	14	3
