onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	3	1	1	7	11	10	3
12	3	3	2	1	1	16	10	1
20	3	3	3	1	9	11	19	3
28	3	3	4	1	4	18	10	2
36	3	3	5	1	2	16	1	1
44	3	3	6	1	3	16	19	1
52	3	3	7	1	6	18	19	2
60	3	3	8	1	8	11	1	3
68	3	3	9	1	5	18	1	2
76	3	3	10	1	4	18	10	2
84	3	3	11	1	9	11	19	3
92	3	3	12	1	6	18	19	2
100	3	3	13	1	2	16	1	1
108	3	3	14	1	1	16	10	1
116	3	3	15	1	5	18	1	2
124	3	3	16	1	8	11	1	3
132	3	3	17	1	3	16	19	1
140	3	3	18	1	7	11	10	3
148	3	3	19	1	4	18	10	2
156	3	3	20	1	8	11	1	3
164	3	3	21	1	1	16	10	1
172	3	3	22	1	5	18	1	2
180	3	3	23	1	9	11	19	3
188	3	3	24	1	2	16	1	1
196	3	3	25	1	3	16	19	1
204	3	3	26	1	7	11	10	3
212	3	3	27	1	6	18	19	2
