onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	3	1	1	5	1	10	2
12	3	3	2	1	3	11	19	1
20	3	3	3	1	2	11	10	1
28	3	3	4	1	7	9	7	3
36	3	3	5	1	4	1	7	2
44	3	3	6	1	9	9	19	3
52	3	3	7	1	8	9	10	3
60	3	3	8	1	1	11	7	1
68	3	3	9	1	6	1	19	2
76	3	3	10	1	3	11	19	1
84	3	3	11	1	1	11	7	1
92	3	3	12	1	4	1	7	2
100	3	3	13	1	9	9	19	3
108	3	3	14	1	8	9	10	3
116	3	3	15	1	5	1	10	2
124	3	3	16	1	6	1	19	2
132	3	3	17	1	2	11	10	1
140	3	3	18	1	7	9	7	3
148	3	3	19	1	3	11	19	1
156	3	3	20	1	5	1	10	2
164	3	3	21	1	8	9	10	3
172	3	3	22	1	6	1	19	2
180	3	3	23	1	7	9	7	3
188	3	3	24	1	9	9	19	3
196	3	3	25	1	1	11	7	1
204	3	3	26	1	2	11	10	1
212	3	3	27	1	4	1	7	2
