onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	3	1	1	8	11	14	3
12	3	3	2	1	6	5	9	2
20	3	3	3	1	7	11	1	3
28	3	3	4	1	2	4	14	1
36	3	3	5	1	1	4	1	1
44	3	3	6	1	4	5	1	2
52	3	3	7	1	9	11	9	3
60	3	3	8	1	3	4	9	1
68	3	3	9	1	5	5	14	2
76	3	3	10	1	1	4	1	1
84	3	3	11	1	6	5	9	2
92	3	3	12	1	4	5	1	2
100	3	3	13	1	7	11	1	3
108	3	3	14	1	2	4	14	1
116	3	3	15	1	8	11	14	3
124	3	3	16	1	9	11	9	3
132	3	3	17	1	5	5	14	2
140	3	3	18	1	3	4	9	1
148	3	3	19	1	2	4	14	1
156	3	3	20	1	6	5	9	2
164	3	3	21	1	4	5	1	2
172	3	3	22	1	3	4	9	1
180	3	3	23	1	9	11	9	3
188	3	3	24	1	1	4	1	1
196	3	3	25	1	7	11	1	3
204	3	3	26	1	5	5	14	2
212	3	3	27	1	8	11	14	3
