onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	9	1	2	3
12	3	2	2	1	2	13	7	1
20	3	2	3	1	4	11	9	2
28	3	2	4	1	8	1	7	3
36	3	2	5	1	5	11	7	2
44	3	2	6	1	6	11	2	2
52	3	2	7	1	3	13	2	1
60	3	2	8	1	1	13	9	1
68	3	2	9	1	7	1	9	3
76	3	2	10	1	5	11	7	2
84	3	2	11	1	2	13	7	1
92	3	2	12	1	6	11	2	2
100	3	2	13	1	7	1	9	3
108	3	2	14	1	1	13	9	1
116	3	2	15	1	3	13	2	1
124	3	2	16	1	8	1	7	3
132	3	2	17	1	4	11	9	2
140	3	2	18	1	9	1	2	3
148	3	2	19	1	3	13	2	1
156	3	2	20	1	8	1	7	3
164	3	2	21	1	5	11	7	2
172	3	2	22	1	4	11	9	2
180	3	2	23	1	9	1	2	3
188	3	2	24	1	1	13	9	1
196	3	2	25	1	7	1	9	3
204	3	2	26	1	2	13	7	1
212	3	2	27	1	6	11	2	2
