onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	4	1	1	7	19	16	3
12	3	4	2	1	4	1	16	2
20	3	4	3	1	8	19	18	3
28	3	4	4	1	6	1	11	2
36	3	4	5	1	3	10	11	1
44	3	4	6	1	2	10	18	1
52	3	4	7	1	5	1	18	2
60	3	4	8	1	1	10	16	1
68	3	4	9	1	9	19	11	3
76	3	4	10	1	1	10	16	1
84	3	4	11	1	7	19	16	3
92	3	4	12	1	8	19	18	3
100	3	4	13	1	2	10	18	1
108	3	4	14	1	9	19	11	3
116	3	4	15	1	6	1	11	2
124	3	4	16	1	4	1	16	2
132	3	4	17	1	3	10	11	1
140	3	4	18	1	5	1	18	2
148	3	4	19	1	4	1	16	2
156	3	4	20	1	1	10	16	1
164	3	4	21	1	9	19	11	3
172	3	4	22	1	7	19	16	3
180	3	4	23	1	2	10	18	1
188	3	4	24	1	3	10	11	1
196	3	4	25	1	5	1	18	2
204	3	4	26	1	6	1	11	2
212	3	4	27	1	8	19	18	3
