onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	1	1	1	6	9	16	2
12	3	1	2	1	2	11	10	1
20	3	1	3	1	9	7	16	3
28	3	1	4	1	7	7	19	3
36	3	1	5	1	3	11	16	1
44	3	1	6	1	8	7	10	3
52	3	1	7	1	1	11	19	1
60	3	1	8	1	5	9	10	2
68	3	1	9	1	4	9	19	2
76	3	1	10	1	1	11	19	1
84	3	1	11	1	6	9	16	2
92	3	1	12	1	4	9	19	2
100	3	1	13	1	9	7	16	3
108	3	1	14	1	3	11	16	1
116	3	1	15	1	2	11	10	1
124	3	1	16	1	8	7	10	3
132	3	1	17	1	7	7	19	3
140	3	1	18	1	5	9	10	2
148	3	1	19	1	2	11	10	1
156	3	1	20	1	3	11	16	1
164	3	1	21	1	7	7	19	3
172	3	1	22	1	1	11	19	1
180	3	1	23	1	5	9	10	2
188	3	1	24	1	8	7	10	3
196	3	1	25	1	4	9	19	2
204	3	1	26	1	9	7	16	3
212	3	1	27	1	6	9	16	2
