onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	3	16	18	1
12	3	2	2	1	5	10	7	2
20	3	2	3	1	9	1	18	3
28	3	2	4	1	7	1	19	3
36	3	2	5	1	1	16	19	1
44	3	2	6	1	8	1	7	3
52	3	2	7	1	4	10	19	2
60	3	2	8	1	2	16	7	1
68	3	2	9	1	6	10	18	2
76	3	2	10	1	9	1	18	3
84	3	2	11	1	2	16	7	1
92	3	2	12	1	6	10	18	2
100	3	2	13	1	7	1	19	3
108	3	2	14	1	5	10	7	2
116	3	2	15	1	4	10	19	2
124	3	2	16	1	3	16	18	1
132	3	2	17	1	8	1	7	3
140	3	2	18	1	1	16	19	1
148	3	2	19	1	4	10	19	2
156	3	2	20	1	3	16	18	1
164	3	2	21	1	8	1	7	3
172	3	2	22	1	9	1	18	3
180	3	2	23	1	6	10	18	2
188	3	2	24	1	7	1	19	3
196	3	2	25	1	1	16	19	1
204	3	2	26	1	2	16	7	1
212	3	2	27	1	5	10	7	2
