onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	4	1	1	8	16	18	3
12	3	4	2	1	6	10	2	2
20	3	4	3	1	7	16	7	3
28	3	4	4	1	2	19	18	1
36	3	4	5	1	4	10	7	2
44	3	4	6	1	3	19	2	1
52	3	4	7	1	5	10	18	2
60	3	4	8	1	9	16	2	3
68	3	4	9	1	1	19	7	1
76	3	4	10	1	8	16	18	3
84	3	4	11	1	7	16	7	3
92	3	4	12	1	5	10	18	2
100	3	4	13	1	6	10	2	2
108	3	4	14	1	2	19	18	1
116	3	4	15	1	3	19	2	1
124	3	4	16	1	9	16	2	3
132	3	4	17	1	1	19	7	1
140	3	4	18	1	4	10	7	2
148	3	4	19	1	9	16	2	3
156	3	4	20	1	5	10	18	2
164	3	4	21	1	1	19	7	1
172	3	4	22	1	3	19	2	1
180	3	4	23	1	8	16	18	3
188	3	4	24	1	6	10	2	2
196	3	4	25	1	7	16	7	3
204	3	4	26	1	2	19	18	1
212	3	4	27	1	4	10	7	2
