onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	9	19	9	3
12	3	2	2	1	3	7	9	1
20	3	2	3	1	2	7	11	1
28	3	2	4	1	4	8	17	2
36	3	2	5	1	5	8	11	2
44	3	2	6	1	8	19	11	3
52	3	2	7	1	1	7	17	1
60	3	2	8	1	7	19	17	3
68	3	2	9	1	6	8	9	2
76	3	2	10	1	4	8	17	2
84	3	2	11	1	9	19	9	3
92	3	2	12	1	1	7	17	1
100	3	2	13	1	8	19	11	3
108	3	2	14	1	5	8	11	2
116	3	2	15	1	7	19	17	3
124	3	2	16	1	2	7	11	1
132	3	2	17	1	6	8	9	2
140	3	2	18	1	3	7	9	1
148	3	2	19	1	4	8	17	2
156	3	2	20	1	9	19	9	3
164	3	2	21	1	1	7	17	1
172	3	2	22	1	6	8	9	2
180	3	2	23	1	5	8	11	2
188	3	2	24	1	3	7	9	1
196	3	2	25	1	8	19	11	3
204	3	2	26	1	7	19	17	3
212	3	2	27	1	2	7	11	1
