onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	3	1	1	2	13	19	1
12	3	3	2	1	9	9	1	3
20	3	3	3	1	7	9	16	3
28	3	3	4	1	4	10	16	2
36	3	3	5	1	3	13	1	1
44	3	3	6	1	6	10	1	2
52	3	3	7	1	8	9	19	3
60	3	3	8	1	1	13	16	1
68	3	3	9	1	5	10	19	2
76	3	3	10	1	8	9	19	3
84	3	3	11	1	1	13	16	1
92	3	3	12	1	6	10	1	2
100	3	3	13	1	9	9	1	3
108	3	3	14	1	4	10	16	2
116	3	3	15	1	3	13	1	1
124	3	3	16	1	2	13	19	1
132	3	3	17	1	5	10	19	2
140	3	3	18	1	7	9	16	3
148	3	3	19	1	5	10	19	2
156	3	3	20	1	1	13	16	1
164	3	3	21	1	2	13	19	1
172	3	3	22	1	6	10	1	2
180	3	3	23	1	7	9	16	3
188	3	3	24	1	4	10	16	2
196	3	3	25	1	9	9	1	3
204	3	3	26	1	3	13	1	1
212	3	3	27	1	8	9	19	3
