onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	1	1	1	2	1	9	1
12	3	1	2	1	8	2	9	3
20	3	1	3	1	7	2	18	3
28	3	1	4	1	6	19	7	2
36	3	1	5	1	1	1	18	1
44	3	1	6	1	3	1	7	1
52	3	1	7	1	5	19	9	2
60	3	1	8	1	4	19	18	2
68	3	1	9	1	9	2	7	3
76	3	1	10	1	4	19	18	2
84	3	1	11	1	9	2	7	3
92	3	1	12	1	8	2	9	3
100	3	1	13	1	2	1	9	1
108	3	1	14	1	6	19	7	2
116	3	1	15	1	7	2	18	3
124	3	1	16	1	1	1	18	1
132	3	1	17	1	5	19	9	2
140	3	1	18	1	3	1	7	1
148	3	1	19	1	4	19	18	2
156	3	1	20	1	8	2	9	3
164	3	1	21	1	2	1	9	1
172	3	1	22	1	1	1	18	1
180	3	1	23	1	6	19	7	2
188	3	1	24	1	9	2	7	3
196	3	1	25	1	7	2	18	3
204	3	1	26	1	3	1	7	1
212	3	1	27	1	5	19	9	2
