onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	1	1	1	7	16	9	3
12	3	1	2	1	1	11	9	1
20	3	1	3	1	9	16	1	3
28	3	1	4	1	3	11	1	1
36	3	1	5	1	2	11	2	1
44	3	1	6	1	4	7	9	2
52	3	1	7	1	8	16	2	3
60	3	1	8	1	6	7	1	2
68	3	1	9	1	5	7	2	2
76	3	1	10	1	3	11	1	1
84	3	1	11	1	4	7	9	2
92	3	1	12	1	8	16	2	3
100	3	1	13	1	6	7	1	2
108	3	1	14	1	7	16	9	3
116	3	1	15	1	5	7	2	2
124	3	1	16	1	9	16	1	3
132	3	1	17	1	1	11	9	1
140	3	1	18	1	2	11	2	1
148	3	1	19	1	7	16	9	3
156	3	1	20	1	1	11	9	1
164	3	1	21	1	2	11	2	1
172	3	1	22	1	8	16	2	3
180	3	1	23	1	6	7	1	2
188	3	1	24	1	9	16	1	3
196	3	1	25	1	4	7	9	2
204	3	1	26	1	5	7	2	2
212	3	1	27	1	3	11	1	1
