onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	3	1	1	1	12	7	1
12	3	3	2	1	8	20	2	3
20	3	3	3	1	7	20	7	3
28	3	3	4	1	2	12	2	1
36	3	3	5	1	9	20	17	3
44	3	3	6	1	5	18	2	2
52	3	3	7	1	3	12	17	1
60	3	3	8	1	6	18	17	2
68	3	3	9	1	4	18	7	2
76	3	3	10	1	8	20	2	3
84	3	3	11	1	4	18	7	2
92	3	3	12	1	5	18	2	2
100	3	3	13	1	2	12	2	1
108	3	3	14	1	9	20	17	3
116	3	3	15	1	3	12	17	1
124	3	3	16	1	7	20	7	3
132	3	3	17	1	6	18	17	2
140	3	3	18	1	1	12	7	1
148	3	3	19	1	8	20	2	3
156	3	3	20	1	2	12	2	1
164	3	3	21	1	1	12	7	1
172	3	3	22	1	5	18	2	2
180	3	3	23	1	6	18	17	2
188	3	3	24	1	3	12	17	1
196	3	3	25	1	4	18	7	2
204	3	3	26	1	9	20	17	3
212	3	3	27	1	7	20	7	3
