onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	4	1	1	8	19	2	3
12	3	4	2	1	1	11	7	1
20	3	4	3	1	5	13	2	2
28	3	4	4	1	4	13	7	2
36	3	4	5	1	2	11	2	1
44	3	4	6	1	6	13	10	2
52	3	4	7	1	9	19	10	3
60	3	4	8	1	7	19	7	3
68	3	4	9	1	3	11	10	1
76	3	4	10	1	4	13	7	2
84	3	4	11	1	8	19	2	3
92	3	4	12	1	3	11	10	1
100	3	4	13	1	9	19	10	3
108	3	4	14	1	7	19	7	3
116	3	4	15	1	2	11	2	1
124	3	4	16	1	6	13	10	2
132	3	4	17	1	1	11	7	1
140	3	4	18	1	5	13	2	2
148	3	4	19	1	7	19	7	3
156	3	4	20	1	2	11	2	1
164	3	4	21	1	3	11	10	1
172	3	4	22	1	4	13	7	2
180	3	4	23	1	5	13	2	2
188	3	4	24	1	8	19	2	3
196	3	4	25	1	9	19	10	3
204	3	4	26	1	6	13	10	2
212	3	4	27	1	1	11	7	1
