onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	4	1	1	2	9	1	1
12	3	4	2	1	8	16	1	3
20	3	4	3	1	1	9	11	1
28	3	4	4	1	9	16	10	3
36	3	4	5	1	6	13	10	2
44	3	4	6	1	7	16	11	3
52	3	4	7	1	4	13	11	2
60	3	4	8	1	5	13	1	2
68	3	4	9	1	3	9	10	1
76	3	4	10	1	8	16	1	3
84	3	4	11	1	5	13	1	2
92	3	4	12	1	7	16	11	3
100	3	4	13	1	2	9	1	1
108	3	4	14	1	9	16	10	3
116	3	4	15	1	4	13	11	2
124	3	4	16	1	3	9	10	1
132	3	4	17	1	1	9	11	1
140	3	4	18	1	6	13	10	2
148	3	4	19	1	4	13	11	2
156	3	4	20	1	8	16	1	3
164	3	4	21	1	2	9	1	1
172	3	4	22	1	3	9	10	1
180	3	4	23	1	7	16	11	3
188	3	4	24	1	6	13	10	2
196	3	4	25	1	5	13	1	2
204	3	4	26	1	1	9	11	1
212	3	4	27	1	9	16	10	3
