onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	1	1	1	4	13	11	2
12	3	1	2	1	2	9	1	1
20	3	1	3	1	3	9	10	1
28	3	1	4	1	6	13	10	2
36	3	1	5	1	5	13	1	2
44	3	1	6	1	9	16	10	3
52	3	1	7	1	1	9	11	1
60	3	1	8	1	7	16	11	3
68	3	1	9	1	8	16	1	3
76	3	1	10	1	4	13	11	2
84	3	1	11	1	6	13	10	2
92	3	1	12	1	8	16	1	3
100	3	1	13	1	3	9	10	1
108	3	1	14	1	9	16	10	3
116	3	1	15	1	2	9	1	1
124	3	1	16	1	1	9	11	1
132	3	1	17	1	7	16	11	3
140	3	1	18	1	5	13	1	2
148	3	1	19	1	4	13	11	2
156	3	1	20	1	3	9	10	1
164	3	1	21	1	6	13	10	2
172	3	1	22	1	1	9	11	1
180	3	1	23	1	8	16	1	3
188	3	1	24	1	9	16	10	3
196	3	1	25	1	5	13	1	2
204	3	1	26	1	2	9	1	1
212	3	1	27	1	7	16	11	3
