onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	1	1	1	4	14	3	2
12	3	1	2	1	3	11	16	1
20	3	1	3	1	5	14	1	2
28	3	1	4	1	7	10	3	3
36	3	1	5	1	8	10	1	3
44	3	1	6	1	2	11	1	1
52	3	1	7	1	1	11	3	1
60	3	1	8	1	9	10	16	3
68	3	1	9	1	6	14	16	2
76	3	1	10	1	1	11	3	1
84	3	1	11	1	9	10	16	3
92	3	1	12	1	5	14	1	2
100	3	1	13	1	7	10	3	3
108	3	1	14	1	4	14	3	2
116	3	1	15	1	3	11	16	1
124	3	1	16	1	6	14	16	2
132	3	1	17	1	8	10	1	3
140	3	1	18	1	2	11	1	1
148	3	1	19	1	4	14	3	2
156	3	1	20	1	6	14	16	2
164	3	1	21	1	2	11	1	1
172	3	1	22	1	3	11	16	1
180	3	1	23	1	7	10	3	3
188	3	1	24	1	1	11	3	1
196	3	1	25	1	8	10	1	3
204	3	1	26	1	5	14	1	2
212	3	1	27	1	9	10	16	3
