onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	8	13	1	3
12	3	2	2	1	4	2	9	2
20	3	2	3	1	2	10	1	1
28	3	2	4	1	9	13	11	3
36	3	2	5	1	7	13	9	3
44	3	2	6	1	3	10	11	1
52	3	2	7	1	6	2	11	2
60	3	2	8	1	1	10	9	1
68	3	2	9	1	5	2	1	2
76	3	2	10	1	3	10	11	1
84	3	2	11	1	6	2	11	2
92	3	2	12	1	5	2	1	2
100	3	2	13	1	8	13	1	3
108	3	2	14	1	1	10	9	1
116	3	2	15	1	9	13	11	3
124	3	2	16	1	7	13	9	3
132	3	2	17	1	2	10	1	1
140	3	2	18	1	4	2	9	2
148	3	2	19	1	9	13	11	3
156	3	2	20	1	5	2	1	2
164	3	2	21	1	2	10	1	1
172	3	2	22	1	4	2	9	2
180	3	2	23	1	3	10	11	1
188	3	2	24	1	1	10	9	1
196	3	2	25	1	8	13	1	3
204	3	2	26	1	7	13	9	3
212	3	2	27	1	6	2	11	2
